Country,partyID,partyNAME
Finland,2460007,  Christian Democrats (KD)
Finland,2460008,  Swedish People's Party in Finland (RKP - SFP)
Finland,2460009,  The Independence Party (IPU)
Finland,2460010,  Blue Reform (SIN) - SEE POLITY NOTES
Finland,2460012,  For the Poor (KA)
Finland,2460013,  For Peace and Socialism - Communist Worker's Party (KTP)
Finland,2460014,  Liberal People's Party (LKP) - SEE ELECTION STUDY NOTES
Finland,2460015,  Change 2011 (M11)
Finland,2460016,  Pirate Party of Finland (PP)
Finland,2460017,  Finnish Senior Citizen Party (SEP)
Finland,2460018,  Communist Party of Finland (SKP - Y)
Finland,2460019,  Finnish People's Blue-Whites (SKS)
Finland,2460020,  Finnish Workers Party (STP)
Finland,2460021,  Freedom Party (SVR)
Finland,2460022,  Joint Responsibility Party (YVP)
Finland,2460023,  Forces for Change in Finland
Finland,2460024,  The Finnish Patriotic Movement (IKL)
France,2500001,  Union for a Popular Movement (UMP) - SEE POLITY NOTES
France,2500002,  Socialist Party (PS)
France,2500003,  Democratic Movement (MoDem) - SEE POLITY/ELECTION STUDY NOTES
France,2500004,  French Communist Party (PCF)
France,2500005,  Europe Ecology - The Greens (EELV) - SEE POLITY NOTES
