id,country,year,Party,party,num_id,lhvote,lhseat,voterlr,pre_gov,post_gov,pmalt,prepmalt,partycountry,maj,pres,plu,majsurvey,nparty,wmedlrcvr,difmedlrcvr,remove_s,nelec,missing
BRA_2014,BRA,2014,PT,A,760001,13.94,13.45,4.303560652,1,1,NA,NA,BRA PT,0,1,1,0,7,0.2,0.263799135,0,5,0
BRA_2014,BRA,2014,PSDB,B,760002,11.39,10.53,5.70630749,0,0,NA,NA,BRA PSDB,0,1,0,0,7,0,1.138947703,0,5,0
BRA_2014,BRA,2014,PMDB,C,760003,11.1,12.67,5.613874346,1,1,NA,NA,BRA PMDB,0,1,0,0,7,0.2,1.046514558,0,5,0
BRA_2014,BRA,2014,PSB,E,760005,6.44,6.63,4.254724733,0,0,NA,NA,BRA PSB,0,1,0,0,7,0.2,0.312635054,0,5,0
BRA_2014,BRA,2014,PSD,F,760006,6.14,7.02,4.156498674,1,1,NA,NA,BRA PSD,0,1,0,0,7,0.2,0.410861113,0,5,0
BRA_2014,BRA,2014,PR,G,760007,5.79,6.63,4.140092166,1,1,NA,NA,BRA PR,0,1,0,0,7,0,0.427267621,0,5,0
BRA_2014,BRA,2014,DEM,I,760009,4.2,4.09,4.508140531,0,0,NA,NA,BRA DEM,0,1,0,0,7,0.2,0.059219256,0,5,0
BRA_2018,BRA,2018,PSL,A,76001,11.64,10.14,5.72306525,1,1,NA,NA,BRA PSL,0,1,0,0,9,0,1.630799925,0,5,0
BRA_2018,BRA,2018,PT,B,76002,10.29,10.53,3.374533831,0,0,NA,NA,BRA PT,0,1,1,0,9,0,0.717731495,0,5,0
BRA_2018,BRA,2018,PSDB,C,76003,5.99,5.65,4.985849057,1,1,NA,NA,BRA PSDB,0,1,0,0,9,0.142857143,0.893583731,0,5,0
BRA_2018,BRA,2018,PSD,D,76004,5.84,6.82,3.939685315,1,0,NA,NA,BRA PSD,0,1,0,0,9,0.142857143,0.15258001,0,5,0
BRA_2018,BRA,2018,PP,E,76005,5.57,7.41,3.746561886,1,0,NA,NA,BRA PP,0,1,0,0,9,0.142857143,0.345703439,0,5,0
BRA_2018,BRA,2018,PMDB,F,76006,5.53,6.63,4.603648425,0,1,NA,NA,BRA PMDB,0,1,0,0,9,0.142857143,0.511383099,0,5,0
BRA_2018,BRA,2018,PSB,G,76007,5.51,6.24,4.137686861,0,0,NA,NA,BRA PSB,0,1,0,0,9,0.142857143,0.045421536,0,5,0
BRA_2018,BRA,2018,PR,H,76008,5.31,6.43,3.609492988,0,0,NA,NA,BRA PR,0,1,0,0,9,0.142857143,0.482772337,0,5,0
BRA_2018,BRA,2018,PRB,I,76009,5.07,5.85,3.622932745,1,0,NA,NA,BRA PRB,0,1,0,0,9,0.142857143,0.46933258,0,5,0
CAN_1997,CAN,1997,LP,A,1240001,38.5,51.5,5.408955224,1,1,1,1,CAN LP,1,0,1,1,5,1,0,0,5,0
CAN_1997,CAN,1997,RP,B,1240007,19.4,19.9,5.961419753,0,0,0,0,CAN RP,0,0,0,1,5,0,0.552464529,0,5,0
